group	lambda	topk	recall
A(s_1)	0.1	10	0.002300
A(s_1)	0.1	50	0.006620
A(s_1)	0.3	10	0.004700
A(s_1)	0.3	50	0.013360
A(s_1)	0.5	10	0.008500
A(s_1)	0.5	50	0.020820
A(s_1)	0.7	10	0.012900
A(s_1)	0.7	50	0.026940
A(s_1)	0.9	10	0.016900
A(s_1)	0.9	50	0.030840
B(s_10)	0.1	10	0.029600
B(s_10)	0.1	50	0.038160
B(s_10)	0.3	10	0.027900
B(s_10)	0.3	50	0.038160
B(s_10)	0.5	10	0.027100
B(s_10)	0.5	50	0.037840
B(s_10)	0.7	10	0.024600
B(s_10)	0.7	50	0.036500
B(s_10)	0.9	10	0.021300
B(s_10)	0.9	50	0.034220
