query_id,must_spearman,unified_spearman,improvement
0,-0.6985725390558972,-0.5275790509781012,0.17099348807779602
1,-0.6893089652358609,-0.48618616874467496,0.20312279649118598
2,-0.6703268093072371,-0.44662863451453794,0.22369817479269916
3,-0.6505708902835611,-0.45419912879651525,0.19637176148704583
4,-0.6997108156363223,-0.5052165769915059,0.1944942386448164
5,-0.7047910431641726,-0.5190207000828003,0.1857703430813723
6,-0.7142394969579877,-0.5372929331717327,0.17694656378625506
7,-0.7035312301249205,-0.5227961071844287,0.18073512294049177
8,-0.7238574874299497,-0.5372330289321157,0.18662445849783404
9,-0.7369638438553754,-0.5181801207204828,0.21878372313489258
10,-0.7540835923343693,-0.5684156816627266,0.18566791067164268
11,-0.735111102087075,-0.536689679639271,0.19842142244780403
12,-0.6901553691852058,-0.4862102765101528,0.203945092675053
13,-0.6725177462114109,-0.49799296797187187,0.17452477823953905
14,-0.7189304597218389,-0.4971152364609458,0.2218152232608931
15,-0.6890824043296172,-0.5084174576698307,0.1806649466597865
16,-0.7085160500642003,-0.5140979923919696,0.19441805767223064
17,-0.7518619514478058,-0.5794063816255265,0.17245556982227928
18,-0.6925183540734163,-0.49586444745778985,0.19665390661562648
19,-0.7165724982899931,-0.5083998895995584,0.20817260869043475
20,-0.6795067500270001,-0.4987709550838203,0.18073579494317982
21,-0.7191415818257254,-0.5074795339181356,0.2116620479075898
22,-0.691068460273841,-0.5390260281041124,0.15204243216972857
23,-0.6894714938859755,-0.4740227280909123,0.21544876579506322
24,-0.7244199230657705,-0.5423637344716676,0.18205618859410289
25,-0.7002149928599715,-0.5132810291241164,0.18693396373585502
26,-0.7131170604682419,-0.5406469945879784,0.17247006588026348
27,-0.6810740522962092,-0.4716291505166021,0.20944490177960712
28,-0.705314629258517,-0.5165283381133524,0.18878629114516454
29,-0.6865759303037212,-0.5100236400945602,0.17655229020916097
30,-0.6553276133104532,-0.47933980535922144,0.17598780795123176
31,-0.7266178824715298,-0.5281102084408337,0.19850767403069614
32,-0.6905316261265044,-0.4970200040800163,0.19351162204648814
33,-0.7048958755835023,-0.4952967971871887,0.2095990783963136
34,-0.7072758211032844,-0.5287271069084276,0.17854871419485674
35,-0.7099996399985599,-0.5061609686438746,0.20383867135468525
36,-0.6982681050724203,-0.5298803595214381,0.16838774555098224
37,-0.7141338005352021,-0.524625970503882,0.1895078300313201
38,-0.718686714746859,-0.5090424201696806,0.20964429457717837
39,-0.7237320149280596,-0.5351065244260976,0.18862549050196198
40,-0.7022484729938919,-0.5197071988287953,0.18254127416509658
41,-0.7061883457019034,-0.5076390865563462,0.1985492591455572
42,-0.7005217140868564,-0.5235440461761847,0.1769776679106717
43,-0.713570854283417,-0.5320801123204493,0.18149074196296777
44,-0.7115446701786807,-0.5233298693194773,0.1882148008592034
45,-0.6915179340717362,-0.4945377221508886,0.19698021192084764
46,-0.7165534902139608,-0.5251142284569138,0.19143926175704695
47,-0.70412883251533,-0.5097287269149076,0.19440010560042242
48,-0.7233535814143257,-0.5506776907107628,0.17267589070356293
49,-0.6752262531104427,-0.48367682631554926,0.19154942679489345
