k,must_recall,must_p95_latency_ms,naive_recall,naive_p95_latency_ms,unified_recall,unified_p95_latency_ms
1,0.019999999999999997,0.09260177612304679,0.012000000000000002,0.520563125610351,0.019999999999999997,45.633506774902344
5,0.09599999999999997,0.19353628158569308,0.052399999999999995,0.17313957214355463,0.09999999999999998,45.508551597595215
10,0.17719999999999994,0.1997947692871091,0.10220000000000001,0.18854141235351557,0.19999999999999996,45.42959928512573
50,0.5554000000000001,0.20538568496704074,0.3996,0.5492568016052245,1.0,45.216190814971924
100,0.7581999999999998,0.21964311599731418,0.6431999999999999,0.8496046066284177,1.0,45.64577341079712
