k,Vespa_recall,Lance_recall,MSTM_aware_recall,Vespa_ndcg,Lance_ndcg,MSTM_aware_ndcg,MSTM_improvement_over_Vespa,MSTM_improvement_over_Lance
1,0.016,0.001,0.019999999999999997,0.8,0.05,1.0,24.99999999999998,1899.9999999999995
5,0.06680000000000001,0.0062,0.09999999999999998,0.6935322725659163,0.0592964839651107,1.0,49.70059880239515,1512.9032258064515
10,0.12360000000000003,0.0128,0.19999999999999996,0.6502686932285787,0.06149414981868435,1.0,61.812297734627755,1462.4999999999995
50,0.4720000000000001,0.053,1.0,0.5164461300910397,0.054462815692871515,1.0,111.86440677966098,1786.7924528301887
100,0.7348000000000002,0.10500000000000002,1.0,0.6814852680399335,0.08668082154267624,1.0,36.091453456722874,852.3809523809522
